ticker,current_price,base_dcf_value,mc_mean_iv,growth_rate,discount_rate,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,prob_undervalued,net_cash_per_share_over_price,margin_vs_undervalued_threshold,threshold_verdict,call_date
AAPL,310.66,106.06642850701905,117.99775168942155,-0.039450634871626145,0.07291,1.097,0.166,0.02164626161106641,0.34142286907557795,0.37982923997109874,0.1366789642046621,0.002,-0.0035513477395268398,-0.6201707600289013,OVERVALUED,2026-07-08
MSFT,388.84,202.1195739695855,231.59902529526167,0.03202605420584792,0.0739,1.13,0.183,0.024791996030039856,0.5198013938112991,0.5956152281022058,0.21948506830329423,0.0628,-0.016342201257561695,-0.40438477189779426,OVERVALUED,2026-07-08
GOOGL,367.03,300.84123794917224,328.996254827885,0.06879140249222915,0.07741,1.247,0.218,0.034023054259268756,0.819663891096565,0.8963742877363841,0.3423332754200877,0.2778,0.01437897262761019,-0.10362571226361592,OVERVALUED,2026-07-08
META,615.58,1239.3926356444413,1219.3729620207525,0.3,0.07738,1.246,0.331,0.03410828244998056,2.0133737867449253,1.9808521427284065,0.8515421983547977,0.952,-0.004134359824800616,0.9808521427284065,UNDERVALUED,2026-07-08
NVDA,196.93,161.29474754282953,150.56098136071827,0.3,0.1,2.0,0.852,0.02026817859502347,0.8190460952766441,0.7645406050917497,0.24452409621150586,0.134,0.00846107744631927,-0.2354593949082503,OVERVALUED,2026-07-08
TSLA,402.9,24.36412736223087,17.778742572169634,-0.062633415093298,0.09406,1.802,0.158,0.004110545528378308,0.06047189715123076,0.044126936143384546,0.012273211601777304,0.0,0.019067776675164645,-0.9558730638566155,OVERVALUED,2026-07-08
V,352.2,401.82220180927743,444.4160324544154,0.06467227726661684,0.064,0.8,0.171,0.0369121648753919,1.140892111894598,1.2618285986780677,0.4733776544746677,0.6506,-0.017214955675229127,0.2618285986780677,UNDERVALUED,2026-07-08
MA,531.62,928.6525101452702,1053.1966252488032,0.17623427286242377,0.064,0.8,0.158,0.035245040169681045,1.7468351644883002,1.9811079817328228,0.8710127453733915,0.9224,-0.023036995505304615,0.9811079817328228,UNDERVALUED,2026-07-08
HD,345.21,246.25133850980652,342.6292438240843,0.032290999550243615,0.06853,0.951,0.048,0.03673870361879377,0.7133377900692521,0.9925240978653119,0.3764698872426859,0.3844,-0.18049783586295165,-0.007475902134688066,FAIRLY VALUED,2026-07-08
UNH,428.19,205.1125278073488,293.727036359129,-0.1,0.064,0.8,0.02,0.041338960325539374,0.4790222280000673,0.6859736013431631,0.24816347869614636,0.1114,-0.12006429542787954,-0.31402639865683696,OVERVALUED,2026-07-08
XOM,141.69,73.09150465870239,94.60820996223988,-0.1,0.064,0.8,0.026,0.0402044916787273,0.5158550685207312,0.6677126823504826,0.2406603535365284,0.0952,-0.0667906718733772,-0.33228731764951736,OVERVALUED,2026-07-08
CVX,174.01,100.59822294129557,139.23038124588223,-0.1,0.064,0.8,0.023,0.04787655678332416,0.5781174814165598,0.8001286204579175,0.294254771510757,0.2146,-0.11571225525687018,-0.19987137954208245,OVERVALUED,2026-07-08
KO,84.05,10.673589283164732,20.584763079935367,-0.1,0.064,0.8,0.121,0.01464505996918162,0.12699094923455959,0.24491092302124173,0.08947356491584546,0.0,-0.08524607833554144,-0.7550890769787583,OVERVALUED,2026-07-08
