ticker,current_price,base_dcf_value,mc_mean_iv,growth_rate,discount_rate,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,prob_undervalued,net_cash_per_share_over_price,margin_vs_undervalued_threshold,threshold_verdict,price_now,realized_return,realized_label,call_date
AAPL,238.3157958984375,106.06642850701905,117.6049231084637,-0.039450634871626145,0.07291,1.097,0.166,0.02821729716547916,0.44506671539397724,0.4934835421424735,0.17935862854240853,0.0178,-0.0046294106716769316,-0.5065164578575265,OVERVALUED,310.6600036621094,0.3035644678563507,UNDERVALUED,2025-09-17
MSFT,506.81024169921875,202.1195739695855,230.95314232322286,0.03202605420584792,0.0739,1.13,0.183,0.0190211620507107,0.39880720107771467,0.45569943801626783,0.17525946385315488,0.0122,-0.012538226369863993,-0.5443005619837321,OVERVALUED,388.8399963378906,-0.23277005011935215,OVERVALUED,2025-09-17
GOOGL,249.04270935058594,300.84123794917224,328.26739404190454,0.06879140249222915,0.07741,1.247,0.218,0.05014192801444492,1.2079905440061196,1.3181168599470676,0.49034467641345575,0.7316,0.02119120185157651,0.31811685994706757,UNDERVALUED,367.0299987792969,0.4737632743250324,UNDERVALUED,2025-09-17
META,773.1858520507812,1239.3926356444413,1221.6434549299297,0.3,0.07738,1.246,0.331,0.027155665684865684,1.602968590743226,1.58001268606981,0.6872638674091737,0.848,-0.003291613800485851,0.5800126860698102,UNDERVALUED,615.5800170898438,-0.20383952259719607,OVERVALUED,2025-09-17
NVDA,170.27130126953125,161.29474754282953,149.46561776533287,0.3,0.1,2.0,0.852,0.023441486503939728,0.9472808766963479,0.8778086304088086,0.2809000644804281,0.2622,0.009785794605904119,-0.12219136959119137,OVERVALUED,196.92999267578125,0.1565659697640449,UNDERVALUED,2025-09-17
TSLA,425.8599853515625,24.36412736223087,17.64863399835898,-0.062633415093298,0.09406,1.802,0.158,0.0038889279348854984,0.05721159113392028,0.04144233927916333,0.011198628892776398,0.0,0.018039748947254894,-0.9585576607208366,OVERVALUED,402.8999938964844,-0.05391441376236328,OVERVALUED,2025-09-17
V,344.0912780761719,401.82220180927743,444.7250624073713,0.06467227726661684,0.064,0.8,0.171,0.037782022670842304,1.1677779339711296,1.2924624677900787,0.48304144632111146,0.6722,-0.01762063665988506,0.2924624677900787,UNDERVALUED,352.20001220703125,0.023565648557544394,FAIRLY VALUED,2025-09-17
MA,595.9199829101562,928.6525101452702,1047.8037959622422,0.17623427286242377,0.064,0.8,0.158,0.03144208751568365,1.5583510148631452,1.7582961236596326,0.808259166742577,0.8698,-0.020551295311029106,0.7582961236596326,UNDERVALUED,531.6199951171875,-0.10790037192403212,OVERVALUED,2025-09-17
HD,411.5686950683594,246.25133850980652,340.5458232915403,0.032290999550243615,0.06853,0.951,0.048,0.03081519082528201,0.5983237827865053,0.827433736754389,0.3136989741039874,0.2356,-0.1513955231893918,-0.172566263245611,OVERVALUED,345.2099914550781,-0.1612336030617183,OVERVALUED,2025-09-17
UNH,334.7986755371094,205.1125278073488,296.8582247819375,-0.1,0.064,0.8,0.02,0.05287036871754505,0.6126443824136752,0.8866768194518544,0.32133938904097936,0.301,-0.15355595590928608,-0.11332318054814561,OVERVALUED,428.19000244140625,0.2789477191164853,UNDERVALUED,2025-09-17
XOM,112.76819610595703,73.09150465870239,94.97511015160417,-0.1,0.064,0.8,0.026,0.050515789226657205,0.6481570795902915,0.8422153890123908,0.3063419108533896,0.2622,-0.08392056115579646,-0.15778461098760924,OVERVALUED,141.69000244140625,0.25647130426981635,UNDERVALUED,2025-09-17
CVX,155.36500549316406,100.59822294129557,139.20745762740682,-0.1,0.064,0.8,0.023,0.053622111487858795,0.6474960215266868,0.8960026563609387,0.3263194255389414,0.3112,-0.12959861503775963,-0.10399734363906135,OVERVALUED,174.00999450683594,0.12000764879123471,UNDERVALUED,2025-09-17
KO,65.69364929199219,10.673589283164732,20.55633759061321,-0.1,0.064,0.8,0.121,0.01873723417218899,0.16247520724146775,0.3129120974730042,0.11228457241221236,0.0008,-0.10906583758585074,-0.6870879025269958,OVERVALUED,84.05000305175781,0.2794235661681106,UNDERVALUED,2025-09-17
PEP,138.62353515625,183.90649169727206,236.3425963108704,0.11037622910555944,0.064,0.8,0.085,0.040492698697863934,1.3266613889912793,1.7049240307172662,0.6772128278053529,0.8878,-0.22114756071514985,0.7049240307172661,UNDERVALUED,144.97999572753906,0.045854122563851574,FAIRLY VALUED,2025-09-17
WMT,103.64695739746094,53.63949218146277,67.4301285797679,0.07584931135670359,0.064,0.8,0.073,0.018092197780982432,0.5175211460937376,0.6505750894470516,0.24670449138977907,0.091,-0.07858097757990877,-0.3494249105529484,OVERVALUED,111.54000091552734,0.07615316181254128,UNDERVALUED,2025-09-17
COST,958.966064453125,1354.6994465808916,1333.9513988450644,0.3,0.06616,0.872,0.215,0.018427810617236765,1.412666721792125,1.3910308699044365,0.6073968407347724,0.7116,0.002111544159183215,0.39103086990443653,UNDERVALUED,947.5,-0.011956694692490277,FAIRLY VALUED,2025-09-17
MCD,301.4667663574219,284.88578994529007,394.44243100704347,0.0940177544032661,0.064,0.8,0.094,0.03354904071882797,0.944998990726317,1.3084109926046998,0.5089817911939915,0.6848,-0.25082413947919535,0.3084109926046998,UNDERVALUED,282.2099914550781,-0.06387694118001963,OVERVALUED,2025-09-17
NKE,71.37751007080078,30.804368296703345,37.70311914307789,-0.09643491560240325,0.07383999999999999,1.128,-0.011,0.03816986833728534,0.4315696676186641,0.5282212717378263,0.19608627131237977,0.031,-0.02342984737679466,-0.4717787282621737,OVERVALUED,43.209999084472656,-0.3946272566581295,OVERVALUED,2025-09-17
DIS,114.4428482055664,289.6591723999023,305.815847258918,0.3,0.08194,1.398,0.065,0.05070665428845596,2.5310377794827854,2.672214577442187,1.092885203406558,0.9902,-0.20971028967254224,1.672214577442187,UNDERVALUED,97.4800033569336,-0.14822110000411326,OVERVALUED,2025-09-17
NFLX,122.8499984741211,112.6321476545067,109.81206489540692,0.3,0.08551,1.517,0.162,0.018289416811917782,0.916826610121881,0.8938711132221896,0.3497826595370348,0.2878,-0.008609665801997051,-0.10612888677781036,OVERVALUED,76.18000030517578,-0.37989416970791867,OVERVALUED,2025-09-17
ADBE,362.07000732421875,600.5647902280093,664.6200425511202,0.10029506958590018,0.08299000000000001,1.433,0.127,0.068453352001022,1.658697981272523,1.8356119786414131,0.6884998988037447,0.9778,-0.010081794118814004,0.8356119786414132,UNDERVALUED,221.5399932861328,-0.3881293981698051,OVERVALUED,2025-09-17
CRM,240.59542846679688,1048.0623056270656,1079.9840612993803,0.3,0.07533999999999999,1.178,0.133,0.07308891817654119,4.35611895166039,4.488797098854363,1.9277560365069386,1.0,-0.15585569337275343,3.4887970988543633,UNDERVALUED,169.52000427246094,-0.29541469115712904,OVERVALUED,2025-09-17
AMD,159.16000366210938,166.34275403852322,154.9307984820084,0.29308334009308634,0.1,2.0,0.378,0.025951116744338937,1.0451291166822447,0.9734279650490621,0.32809915502685666,0.3998,0.03265948906926963,-0.026572034950937823,FAIRLY VALUED,516.1099853515625,2.2427115699698295,UNDERVALUED,2025-09-17
QCOM,163.37095642089844,446.3755428887653,484.01370866270486,0.23330649006511273,0.08914,1.638,-0.035,0.0744513475482816,2.7322821183635115,2.962666799940395,1.1827268460298956,0.9992,-0.03177248744792862,1.9626667999403948,UNDERVALUED,182.97000122070312,0.11996651809585401,UNDERVALUED,2025-09-17
CSCO,66.3462142944336,68.55841792429099,80.95550013917642,0.013898544116964118,0.07021,1.007,0.12,0.05081467361383739,1.033343328679463,1.2201977309497904,0.4524616275032221,0.625,-0.06256614417354606,0.22019773094979042,UNDERVALUED,111.79000091552734,0.6849492032721218,UNDERVALUED,2025-09-17
IBM,254.3267822265625,395.8848291851504,500.28159998054673,0.10617435101575201,0.064,0.8,0.095,0.047921251230092055,1.5565990562192678,1.9670818605917788,0.7726259904741405,0.9578,-0.24271873334382466,0.9670818605917789,UNDERVALUED,306.1300048828125,0.20368764234237036,UNDERVALUED,2025-09-17
TXN,176.64846801757812,20.50516990394587,35.45660727945414,-0.1,0.07930000000000001,1.31,0.186,0.016191184382165363,0.11607895689140887,0.2007184533065177,0.07150829124303475,0.0,-0.05565214120573419,-0.7992815466934823,OVERVALUED,293.29998779296875,0.66035964582372,UNDERVALUED,2025-09-17
AVGO,343.6520690917969,179.1437342153454,210.14536945122177,0.1816540426343054,0.08385999999999999,1.462,0.479,0.016461642548916532,0.5212939200069017,0.6115061958061059,0.24760351291993646,0.0722,-0.02769438790843954,-0.3884938041938941,OVERVALUED,370.7799987792969,0.0789401028755441,UNDERVALUED,2025-09-17
PYPL,68.25508117675781,117.07619316487161,131.0153133112531,0.028980365440431477,0.07996,1.332,0.072,0.0924126889783629,1.7152743963732673,1.919495384848599,0.6675221144555873,0.994,-0.03866583260717687,0.9194953848485989,UNDERVALUED,45.650001525878906,-0.3311853016823658,OVERVALUED,2025-09-17
CAT,447.4681091308594,329.6508507598452,457.39566067767197,0.12987626741358516,0.08695,1.565,0.222,0.03616201800124204,0.7367024465724344,1.0221860538086063,0.392574419203799,0.4218,-0.19286732757355154,0.022186053808606374,FAIRLY VALUED,940.1199951171875,1.1009765297983618,UNDERVALUED,2025-09-17
GE,288.0372619628906,177.85816253065767,207.8657342144924,0.11395514846114008,0.08044000000000001,1.348,0.247,0.024171436139221555,0.6174831732485087,0.7216626515539952,0.27780319567891076,0.134,-0.03573805653894582,-0.2783373484460047,OVERVALUED,366.9800109863281,0.27407130759911236,UNDERVALUED,2025-09-17
HON,205.8350067138672,404.9383333543703,535.3688522548163,0.06346989909521827,0.0679,0.93,0.024,0.08314166065309442,1.9672957473034611,2.6009611329089255,1.0589736800281218,0.9992,-0.38888892995345853,1.6009611329089253,UNDERVALUED,225.0500030517578,0.09335145000190148,UNDERVALUED,2025-09-17
MMM,153.0146484375,18.21905427428853,37.85758979184778,-0.1,0.07243,1.081,0.013,0.017492105448528784,0.11906738642562213,0.24741153986515874,0.09112344369217372,0.0002,-0.09158294636520282,-0.7525884601348413,OVERVALUED,158.00999450683594,0.032646195121484256,FAIRLY VALUED,2025-09-17
LMT,467.0933532714844,762.9320950707695,924.2356143047664,0.04051911024828336,0.064,0.8,0.003,0.06414427221067168,1.633361060968336,1.978695710036322,0.7200023989520502,0.9752,-0.17459535991198988,0.978695710036322,UNDERVALUED,535.3800048828125,0.1461948690407473,UNDERVALUED,2025-09-17
RTX,156.51280212402344,272.53484764403834,329.67099133677084,0.1924114973812372,0.064,0.8,0.087,0.03533656133648548,1.7412942835697047,2.1063516010372996,0.9358937629927748,0.9438,-0.1523770557255485,1.1063516010372996,UNDERVALUED,200.85000610351562,0.2832816445542814,UNDERVALUED,2025-09-17
UPS,80.25084686279297,48.65408277726486,93.64319710449301,-0.1,0.0709,1.03,-0.016,0.07953089558455738,0.6062750074207947,1.1668811079912627,0.6386255647523674,0.5576,-0.38154800686318413,0.16688110799126277,FAIRLY VALUED,111.95999908447266,0.3951254530172583,UNDERVALUED,2025-09-17
FDX,179.60104370117188,74.90971162723264,215.84061541726254,-0.00965078303809841,0.08011,1.337,0.125,0.06956173148363758,0.41708951175067066,1.2017781799552771,0.41735001919084946,0.6432,-0.6914637029702656,0.20177817995527722,UNDERVALUED,312.8800048828125,0.7420834447008895,UNDERVALUED,2025-09-17
T,28.587493896484375,111.24798308530826,148.32313497953572,0.16182694896604244,0.064,0.8,0.029,0.09787772475687406,3.8914912754555684,5.188392361940344,2.2247742962716193,1.0,-0.7440106413406266,4.188392361940344,UNDERVALUED,21.09000015258789,-0.262264813104814,OVERVALUED,2025-09-17
VZ,42.088623046875,254.529431486871,323.08419694986,0.23676515035658485,0.064,0.8,0.029,0.11195860560451223,6.047463971520193,7.676283364985217,3.3448573875489402,1.0,-1.0954600243369774,6.676283364985217,UNDERVALUED,42.59000015258789,0.011912414078134592,FAIRLY VALUED,2025-09-17
TMO,471.345947265625,219.62123673658186,361.0908959859315,-0.03074299981574713,0.06604,0.868,0.062,0.03592668642680869,0.4659448925161019,0.7660846520070752,0.2743315177388161,0.1912,-0.22781733563329834,-0.23391534799292485,OVERVALUED,516.6199951171875,0.09605269359842072,UNDERVALUED,2025-09-17
ABBV,215.6903533935547,111.91255539022123,169.33997174730288,-0.09764361948343492,0.064,0.8,0.124,0.046751317699255196,0.5188574900520583,0.7851068398887566,0.2878905551354734,0.202,-0.16668672070829746,-0.21489316011124335,OVERVALUED,254.64999389648438,0.18062764463018355,UNDERVALUED,2025-09-17
PFE,22.867013931274414,14.012841239928504,26.61094805973681,-0.1,0.064,0.8,0.054,0.06963132728969333,0.612797161975033,1.1637264113152066,0.4220655209147545,0.576,-0.3963039247275294,0.16372641131520665,FAIRLY VALUED,24.06999969482422,0.05260790793084369,UNDERVALUED,2025-09-17
MRK,79.29066467285156,72.31939549154181,97.83023834974884,-0.05630542280676165,0.064,0.8,0.049,0.0631146724769856,0.91207957191338,1.2338178618301463,0.45763542848846667,0.6326,-0.22169283797030392,0.23381786183014638,UNDERVALUED,128.86000061035156,0.6251597983447363,UNDERVALUED,2025-09-17
LLY,756.4484252929688,191.97957475939353,256.1560161861168,0.09038703757109423,0.064,0.8,0.555,0.008841366201792687,0.2537906991941199,0.33862984920209044,0.1314304228433755,0.0016,-0.05646377605980203,-0.6613701507979095,OVERVALUED,1235.56005859375,0.6333698601001432,UNDERVALUED,2025-09-17
BMY,44.036319732666016,147.28623015608414,180.08350746090184,0.02442373363500816,0.064,0.8,0.026,0.14284077633720624,3.344653482630331,4.089431372879155,1.4977507277596374,1.0,-0.39969840661969747,3.089431372879156,UNDERVALUED,57.970001220703125,0.3164133963197915,UNDERVALUED,2025-09-17
GILD,110.16959381103516,206.70786518145817,235.99655328389042,0.042584000699299684,0.064,0.8,0.044,0.06913127220923994,1.8762696496458648,2.1421205717493694,0.7970663859919946,0.9886,-0.09034000350807524,1.1421205717493694,UNDERVALUED,136.36000061035156,0.23772808715477933,UNDERVALUED,2025-09-17
AMGN,268.85723876953125,226.6385064144628,339.1122679939089,-0.02669769694613533,0.064,0.8,0.058,0.05582184786555928,0.8429697018823472,1.2613097923117533,0.4637224008368351,0.652,-0.3120854804085983,0.2613097923117533,UNDERVALUED,368.1000061035156,0.36912812088744573,UNDERVALUED,2025-09-17
SBUX,81.61531829833984,21.58225227703852,45.71020014779381,-0.01509365177616906,0.06906999999999999,0.969,0.088,0.02625327166673716,0.2644387441845893,0.5600688829112073,0.20360013472585317,0.0378,-0.2441296268235991,-0.4399311170887927,OVERVALUED,103.61000061035156,0.26949208519424617,UNDERVALUED,2025-09-17
LOW,264.1788024902344,298.4746212732183,409.01197597953575,0.0421346483675451,0.0655,0.85,0.103,0.05165165303439109,1.1298204793863116,1.5482391930164618,0.5751622097255131,0.8536,-0.28198790415458813,0.548239193016462,UNDERVALUED,220.89999389648438,-0.1638239260144646,OVERVALUED,2025-09-17
CMG,39.66999816894531,50.996156667018695,60.86577511115719,0.19701190502328325,0.06892,0.964,0.074,0.028447675649686605,1.2855094283049346,1.5343024431698733,0.6951306475050717,0.7864,-0.0859657474906985,0.5343024431698733,UNDERVALUED,34.349998474121094,-0.1341063761124358,OVERVALUED,2025-09-17
BKNG,221.21913146972656,406.74515241165363,461.01814831048233,0.13676371886731986,0.07225000000000001,1.075,0.162,0.053010789220262276,1.8386526956748133,2.083988601020124,0.8750360962170086,0.9728,-0.018387801622011507,1.0839886010201238,UNDERVALUED,181.9499969482422,-0.17751237996727365,OVERVALUED,2025-09-17
ABT,132.07421875,76.20029575185958,99.50001477277267,-0.017784072013788288,0.064,0.8,0.078,0.0321453798440331,0.5769505697103325,0.7533644015802492,0.2717574698702602,0.1764,-0.11667534209531072,-0.24663559841975086,OVERVALUED,95.83999633789062,-0.27434742946082635,OVERVALUED,2025-09-17
JNJ,174.14935302734375,211.60345803542634,246.78505233479234,0.039680905732483396,0.064,0.8,0.099,0.046069408747963364,1.2150688725338061,1.4170885394908348,0.5256200170944484,0.7674,-0.07856584255607794,0.4170885394908348,UNDERVALUED,267.239990234375,0.5345448351589039,UNDERVALUED,2025-09-17
PG,156.91256713867188,138.49376561106482,163.3034140862714,0.0115848859193739,0.064,0.8,0.074,0.0384360182234877,0.8826174227885176,1.0407287132199654,0.3796306832408429,0.4532,-0.06765440115658634,0.04072871321996536,FAIRLY VALUED,152.75,-0.02652793982392243,FAIRLY VALUED,2025-09-17
TCS.NS,3063.041015625,4385.670839061701,4695.559168155844,0.07251639943779664,0.064,0.8,0.096,0.04326519013106675,1.4318028445227413,1.532972997815942,0.591905955999638,0.8186,0.026886895590673265,0.5329729978159422,UNDERVALUED,2080.10009765625,-0.32090360950265806,OVERVALUED,2025-09-17
INFY.NS,1467.685546875,40.231039971719575,43.35117292100036,0.13784680172214703,0.064,0.8,0.066,0.0006281811888142729,0.02741121220235466,0.029537098742509114,0.012220056559968365,0.0,0.0004609129910943213,-0.9704629012574909,OVERVALUED,1072.5,-0.26925764017805454,OVERVALUED,2025-09-17
HDFCBANK.NS,950.7747192382812,5079.923365110964,5470.623503950837,0.2673846108688158,0.064,0.8,-0.018,0.07711624100538741,5.342930625228209,5.753858819819756,2.5495878896925475,1.0,-0.18886619935120014,4.753858819819756,UNDERVALUED,826.7999877929688,-0.13039338229842246,OVERVALUED,2025-09-17
HINDUNILVR.NS,2523.984130859375,1130.3362798673431,1207.2716410362862,0.030824031721338185,0.064,0.8,0.043,0.016252043779066246,0.44783810882459163,0.47831982232995657,0.17480890959728976,0.0102,0.009299649475988433,-0.5216801776700434,OVERVALUED,2167.0,-0.14143675726591343,OVERVALUED,2025-09-17
ITC.NS,390.2659606933594,326.5225473312419,338.4540203654871,0.0030249075396249214,0.064,0.8,-0.05,0.03329652931548976,0.8366667355542133,0.8672394071063193,0.30788710165351757,0.3,0.045219635598199345,-0.13276059289368067,OVERVALUED,283.8500061035156,-0.2726754708527017,OVERVALUED,2025-09-17
LT.NS,3649.8505859375,901.5879385761536,1444.4677510479041,-0.1,0.064,0.8,0.117,0.02376277756246957,0.2470205060036922,0.39576078993844027,0.14476647280633573,0.0026,-0.09735099450781157,-0.6042392100615597,OVERVALUED,3973.0,0.08853771036753155,UNDERVALUED,2025-09-17
BHARTIARTL.NS,1941.300048828125,7931.853248352259,8731.889014793127,0.2504107252770602,0.064,0.8,0.157,0.0626221042862157,4.085846107684569,4.497959509177457,1.9708221614812476,0.9998,-0.12497722078403828,3.4979595091774573,UNDERVALUED,1893.699951171875,-0.024519701467572763,FAIRLY VALUED,2025-09-17
ASIANPAINT.NS,2468.29931640625,4248.104580426617,4398.407122417423,0.2679111244732988,0.064,0.8,0.106,0.023670062359576166,1.7210654122011815,1.7819585709002816,0.7737887437924083,0.8794,0.01974756428843401,0.7819585709002815,UNDERVALUED,2699.89990234375,0.09383002474541935,UNDERVALUED,2025-09-17
MARUTI.NS,15801.0,22981.970220792264,21782.648524474604,0.3,0.064,0.8,0.282,0.017517147420723,1.4544630226436468,1.3785613900686415,0.5950675565023984,0.7056,0.03470960829987723,0.3785613900686415,UNDERVALUED,14286.0,-0.09588000759445603,OVERVALUED,2025-09-17
WIPRO.NS,247.75360107421875,430.4891049346137,433.9174119079549,0.04921128054384649,0.064,0.8,0.077,0.054561357297268485,1.7375695169236045,1.751407083596608,0.6649293726454226,0.9242,0.13886902787136993,0.7514070835966079,UNDERVALUED,174.82000732421875,-0.2943795506251855,OVERVALUED,2025-09-17
HCLTECH.NS,1431.783447265625,1955.8848314532354,2124.7477201690704,0.04307732646633822,0.064,0.8,0.053,0.0478901786859977,1.3660479419485696,1.483986788803046,0.5542617902554734,0.8138,0.0006853253993766641,0.48398678880304613,UNDERVALUED,1158.4000244140625,-0.19093908605638765,OVERVALUED,2025-09-17
ULTRACEMCO.NS,12721.0,12365.28919864373,13913.871337153721,0.2526529440608578,0.064,0.8,0.03,0.015066518525359828,0.9720375126675364,1.0937718211739424,0.4809016835895432,0.5008,-0.04979813586358809,0.09377182117394242,FAIRLY VALUED,11538.0,-0.09299583366087572,OVERVALUED,2025-09-17
SUNPHARMA.NS,1605.53564453125,3092.2676263975936,2890.2723928763726,0.3,0.064,0.8,0.128,0.022869449281830077,1.926003721518377,1.8001919812376463,0.7617207144758456,0.8904,0.07244971970477491,0.8001919812376465,UNDERVALUED,1893.5999755859375,0.17941945545456295,UNDERVALUED,2025-09-17
TITAN.NS,3523.0,3981.75119293857,4185.694109708596,0.3,0.064,0.8,0.805,0.015001309809958625,1.1302160638485865,1.188105055267839,0.4965359008844257,0.581,-0.08563034714419117,0.1881050552678389,UNDERVALUED,4621.89990234375,0.31192162995848705,UNDERVALUED,2025-09-17
NESTLEIND.NS,1197.832763671875,,,-0.1,0.064,0.8,0.23,,,,,0.0,0.00379258254191228,,FAIRLY VALUED,1467.5,0.22512928724831194,UNDERVALUED,2025-09-17
TATASTEEL.NS,167.89749145507812,1266.490214633443,1292.9147774379446,0.3,0.064,0.8,0.125,0.09792497157595546,7.543234884913687,7.700619980876074,3.2894348234070594,1.0,-0.39352042149002614,6.700619980876074,UNDERVALUED,189.5399932861328,0.12890306843473742,UNDERVALUED,2025-09-17
POWERGRID.NS,279.2642517089844,-96.39192703693789,65.69284422168933,-0.1,0.064,0.8,-0.05,0.014058573189084812,-0.3451638598462146,0.23523542243475729,0.08589605300417094,0.0,-0.5489014882210345,-0.7647645775652427,OVERVALUED,282.8999938964844,0.013019003203062152,FAIRLY VALUED,2025-09-17
NTPC.NS,331.06842041015625,-11.699444386562703,118.02591164511186,-0.1,0.064,0.8,0.08,0.02134415943748554,-0.03533844868703701,0.35650005971240367,0.12932320158906074,0.0012,-0.3446592001572948,-0.6434999402875963,OVERVALUED,350.8500061035156,0.059750747802681525,UNDERVALUED,2025-09-17
ONGC.NS,225.89837646484375,2335.805786290622,2715.9553083021096,0.18681635113466344,0.064,0.8,0.019,0.20665607716068193,10.340073367699215,12.022907604760011,5.452930958687579,1.0,-0.48922323981781235,11.022907604760011,UNDERVALUED,242.16000366210938,0.07198647219935372,UNDERVALUED,2025-09-17
COALINDIA.NS,384.1265563964844,2279.656677563216,2455.7819723975545,0.1458490923067366,0.064,0.8,0.162,0.12974857539092494,5.934650025108444,6.393158534612658,2.704970132851927,1.0,0.18033304328003302,5.393158534612658,UNDERVALUED,428.54998779296875,0.11564790472500364,UNDERVALUED,2025-09-17
ADANIPORTS.NS,1400.1988525390625,1074.0895686260662,1459.6885557746787,0.22218782224998113,0.064,0.8,0.265,0.015610473087349684,0.767097878046648,1.0424866104751764,0.47556368778022995,0.4538,-0.17394371772992895,0.04248661047517644,FAIRLY VALUED,1839.4000244140625,0.31367056977555063,UNDERVALUED,2025-09-17
JSWSTEEL.NS,1104.655029296875,1177.6984752719918,1528.8700523854422,0.07127224120739228,0.064,0.8,0.142,0.0389352439836007,1.0661233091217714,1.384024887261487,0.5280302472568693,0.7272,-0.19133084522077418,0.3840248872614872,UNDERVALUED,1235.5999755859375,0.11853922067635025,UNDERVALUED,2025-09-17
